itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
59138,LEVER AYUSH ANTI CAVITY CLOVE OIL TOOTHPASET 120 GM CDBOX + SAVE RS 60 + FREE LEVER AYUSH ANTI CAVITY CLOVE OIL TOOTHPASET 40 GM CDBOX,27,TOOTHPASTE,UNILEVER SRI LANKA LTD,LEVER AYUSH,CDBOX,,,160,GM,160.00 GM,202306
59139,DARE - NEW GERMISOL TOP MOP FLOOR CLEANER - LEMON FRAGRANCE 500 ML PLBOT,21,HOUSEHOLD CLEANERS,DARE HOUSEHOLD PRODUCTS,DARE,PLBOT,,,500,ML,500.00 ML,202306
59140,KINGDO LIME & LEMON HYBRID SOAP (110*2) 220 GM EWRPK + SAVE RS 30,16,WASHING SOAP,NATURE'S BEAUTY CREATIONS LTD,KINGDO,EWRPK,LIME & LEMON,,220,GM,220.00 GM,202306
59141,CLEANBRIGHT - PINK - LAUNDRY SOAP WITH REAL LEMON 75 GM EWRPK,16,WASHING SOAP,NI BROTHERS,CLEANBRIGHT,EWRPK,LEMON,,75,GM,75.00 GM,202306
59142,CLEANBRIGHT - GREEN - LAUNDRY SOAP WITH REAL LEMON 80 GM EWRPK,16,WASHING SOAP,NI BROTHERS,CLEANBRIGHT,EWRPK,LEMON,,80,GM,80.00 GM,202306
59143,CLEANBRIGHT - YELLOW - LAUNDRY SOAP WITH REAL LEMON 80 GM EWRPK,16,WASHING SOAP,NI BROTHERS,CLEANBRIGHT,EWRPK,LEMON,,80,GM,80.00 GM,202306
59144,VENDOL DE-LIGHT LAUNDRY SOAP (NIL KATUROLU) 120 GM EWRPK + SAVE RS 50,16,WASHING SOAP,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL DE-LIGHT,EWRPK,NIL KATUROLU,,120,GM,120.00 GM,202306
59145,SOORYALIGHT MULTI PURPOSE SOAP WITH REAL LEMON 95 GM EWRPK,16,WASHING SOAP,KELANI BIO HERBAL PRODUCTS CO.,SOORYALIGHT,EWRPK,LEMON,,95,GM,95.00 GM,202306
59146,SUNLIGHT WITH REAL LEMON LAUNDRY BAR (JUMBO KATE) 160 GM EWRPK + FREE SUNLIGHT WITH REAL LEMON (BUDGET KATE) 65 GM EWRPK (SAVE RS 100),16,WASHING SOAP,UNILEVER SRI LANKA LTD,SUNLIGHT,EWRPK,LEMON,,225,GM,225.00 GM,202306
59147,DIVA FRESH NEW IMPROVED 3 IN 1 JASMINE & LIME DETERGENT POWDER 45 GM PLPCH,15,WASHING POWDER,HEMAS MARKETING,DIVA FRESH,PLPCH,JASMINE & LIME,,45,GM,45.00 GM,202306
59148,DIVA FRESH NEW IMPROVED 3 IN 1 SEPALIKA & LIME DETERGENT POWDER 1000 GM PLPCH + SAVE RS 20,15,WASHING POWDER,HEMAS MARKETING,DIVA FRESH,PLPCH,LIME / SEPALIKA,,1000,GM,1000.00 GM,202306
