itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
54337,LIFEBUOY HEALTH SHAMPOO STRONG & LONG 175 ML PLBOT + SAVE RS 40,26,SHAMPOOS/CONDITIONERS,UNILEVER SRI LANKA LTD,LIFEBUOY,PLBOT,,,175,ML,175.00 ML,202207,1
54338,DASUNLIGHT HIGH POWER FLORAL FRESH LAUNDRY SOAP 100 GM EWRPK,16,WASHING SOAP,DASUN CONSUMER PRODUCT(PVT),DASUNLIGHT,EWRPK,FLORAL,,100,GM,100.00 GM,202207,1
54339,MADHUSHIKA ROASTED CURRY POWDER 50 GM PLPCH,28,COOKING AIDS,MADHUSHIKA PRODUCTS,MADHUSHIKA,PLPCH,ROASTED CURRY,,50,GM,50.00 GM,202207,1
54344,VENDOL ROYAL BABY MOISTURISING SOAP-SILKY & SOFT 95 GM EWRPK + SAVE RS 20,13,TOILET SOAP,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL ROYAL BABY,EWRPK,MOISTURISING,,95,GM,95.00 GM,202207,1
54345,SURF EXCEL WITH PREMIUM FRAGRANCE OF COMFORT 2000 GM PLPCH,15,WASHING POWDER,UNILEVER SRI LANKA LTD,SURF EXCEL,PLPCH,UNSPECIFIED,,2000,GM,2000.00 GM,202207,1
54354,EVON PROFESSIONAL HERBAL BASED BLACK HENNA-NATURAL BLACK 8 GM,33,HAIR DYE,HARUMI HOLDINGS (PVT) LTD,EVON,,BLACK HENNA,BLACK,8,GM,8.00 GM,202207,1
54355,DIALOG PREPAID STANDARD (VOICE) CARD RS.50,40,CARDS,DIALOG,DIALOG,CARD,50,,1,,50.00 RS,202208,1
54356,DIALOG PREPAID STANDARD (VOICE) CARD RS.100,40,CARDS,DIALOG,DIALOG,CARD,100,,1,,100.00 RS,202208,1
54357,DIALOG PREPAID STANDARD (VOICE) CARD RS.400,40,CARDS,DIALOG,DIALOG,CARD,400,,1,,400.00 RS,202208,1
54358,DIALOG PREPAID STANDARD (VOICE) CARD RS.1000,40,CARDS,DIALOG,DIALOG,CARD,1000,,1,,1000.00 RS,202208,1
54359,DIALOG PREPAID INTERNET (DATA) CARD RS.59,40,CARDS,DIALOG,DIALOG,CARD,59,,1,,59.00 RS,202208,1
54360,DIALOG PREPAID INTERNET (DATA) CARD RS.119,40,CARDS,DIALOG,DIALOG,CARD,119,,1,,119.00 RS,202208,1
54361,DIALOG PREPAID INTERNET (DATA) CARD RS.239,40,CARDS,DIALOG,DIALOG,CARD,239,,1,,239.00 RS,202208,1
54362,AIRTEL PREPAID STANDARD (VOICE) CARD RS.50,40,CARDS,AIRTEL,AIRTEL,CARD,50,,1,,50.00 RS,202208,1
54363,AIRTEL PREPAID STANDARD (VOICE) CARD RS.100,40,CARDS,AIRTEL,AIRTEL,CARD,100,,1,,100.00 RS,202208,1
