catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size
118,COCA COLA COMPANY IMPRTD-IMPTD,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 1250 ML,PET,1250.0,ML,1250.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 600 ML,PET,600.0,ML,600.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,SPRITE,SPRITE-LEMON-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,SPRITE,SPRITE-LEMON-PET 1250 ML,PET,1250.0,ML,1250.000 ML
118,THE AGRI. MKT. - BNGLADESH,PRAN UP,PRAN UP-LEMON-LEMON PET 250 ML,PET,250.0,ML,250.000 ML
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP-LEMON-CAN 250 ML,CAN,250.0,ML,250.000 ML
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-CAN 250 ML,CAN,250.0,ML,250.000 ML
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,PEPSI,PEPSI-COLA-CAN 250 ML,CAN,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 2250 ML,PET,2250.0,ML,2250.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 2250 ML,PET,2250.0,ML,2250.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 2250 ML,PET,2250.0,ML,2250.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 2250 ML,PET,2250.0,ML,2250.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP-COLA-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,COCA-COLA,COCA-COLA-COLA-PET 750 ML,PET,750.0,ML,750.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,SPRITE,SPRITE-LEMON-PET 750 ML,PET,750.0,ML,750.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 750 ML,PET,750.0,ML,750.000 ML
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA-COLA-PET 1000 ML,PET,1000.0,ML,1000.000 ML
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 1000 ML,PET,1000.0,ML,1000.000 ML
118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 1000 ML,PET,1000.0,ML,1000.000 ML
118,DUGAR FOOD & BEVERAGE-NEPAL,APPY FIZZ APPLE,APPY FIZZ APPLE-APPLE-APPLE PET 250 ML,PET,250.0,ML,250.000 ML
118,HIM GANGA BEVERAGE-NEPAL,FIZZY CLUB SODA,FIZZY CLUB SODA-SODA-PET 600 ML,PET,600.0,ML,600.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,SPRITE,SPRITE-LEMON-CAN 300 ML,CAN,300.0,ML,300.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,SPRITE,SPRITE-LEMON-PET 400 ML,PET,400.0,ML,400.000 ML
118,HIM GANGA BEVERAGE-NEPAL,FIZZY CLUB SODA,FIZZY CLUB SODA-SODA-PET 250 ML,PET,250.0,ML,250.000 ML
118,SAMBHAVI BEVERAGE-NEPAL,SPEED DEW LEMON,SPEED DEW LEMON-LEMON-LEMON PET 250 ML,PET,250.0,ML,250.000 ML
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP-LEMON-PET 500 ML,PET,500.0,ML,500.000 ML
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 500 ML,PET,500.0,ML,500.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP-COLA-PET 400 ML,PET,400.0,ML,400.000 ML
118,VARUN BEVERAGE -NEPAL,EVERVESS CLUB,EVERVESS CLUB-SODA-SODA PET 600 ML,PET,600.0,ML,600.000 ML
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 400 ML,PET,400.0,ML,400.000 ML
118,THE AGRI. MKT. - BNGLADESH,MAXX COLA,MAXX COLA-COLA-PET 250 ML,PET,250.0,ML,250.000 ML
118,EVEREST FOOD & BEVERAGE-NEPAL,CAMPA COLA,CAMPA COLA-COLA-PET 250 ML,PET,250.0,ML,250.000 ML
118,THE AGRI. MKT. - BNGLADESH,MAXX COLA,MAXX COLA-COLA-PET 500 ML,PET,500.0,ML,500.000 ML
118,THE AGRI. MKT. - BNGLADESH,PRAN,PRAN-JEERA-ZEERA PANI CUMIN PET 250ML,PET,250.0,ML,250.000 ML
118,SAMBHAVI BEVERAGE-NEPAL,CHOICE COLA,CHOICE COLA-COLA-COLA FLAVOUR PET 500 ML,PET,500.0,ML,500.000 ML
