DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-03-07 00:00:00,202203,,134200495,,1646542735607,52127,120,VVF LTD - INDIA,JO CARESSING CREAM,JO 100G,40,EWP,100,,1646542735607-vvf ltd - india-jo caressing cream.png,CROSS CODING,2
2022-03-07 00:00:00,202203,,134034511,,1646550272229,90819961,111,DABUR NEPAL LTD.-NEPAL,PROSTYLE COOLING HAIR OIL,PROSTYLE DANDRUFF CONTROL ,60,PPH,75ML,,1646550272229-dabur nepal ltd--nepal-prostyle cooling hair oil.png,CROSS CODING,2
2022-03-07 00:00:00,202203,,133736631,,1646555361180,99762674,121,NEPAL IMPORTS DETAILS KATHMANDU MARKETING AND TRADING HOUSE PVT.LTD,COLGATE STRONG TEETH,COLGATE STRONG TEETH 44G,25,TUB,44G,,1646555361180-nepal imports details kathmandu marketing and trading house pvt-ltd-colgate strong teeth.png,CROSS CODING,2
2022-03-07 00:00:00,202203,,132816330,,1646364957891,99763276,118,S.N.B MINERAL WATER & BEVRG-NP,FORTUNE DRINKING WATER ,FORTUNE DRINKING WATER \PBT\1000ML\RS-25,25,PBT,1000 ML,,1646364957891-s-n-b mineral water - bevrg-np-fortune drinking water .png,RECODING,5
2022-03-07 00:00:00,202203,,111846663,,1646465941499,99763287,123,SWADESHI SABUN UDHYOG-NEPAL,AAHA,AAHA HERBAL DISWASH 200GM,20,PPH,200GM,,1646465941499-swadeshi sabun udhyog-nepal-aaha.png,RECODING,5
2022-03-07 00:00:00,202203,,111846663,,1646465316192,99762901,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI 500GM (3PIC)HIMGIRI ,100,PPH,500GM,,1646465316192-himgiri soap - chemicals-nepal-dhoni.png,CROSS CODING,2
2022-03-07 00:00:00,202203,,111846663,,1646466386210,99763192,123,HIMGIRI HYGIENE PVT LTD-NEPAL,DHONI 100%,DHONI 225Ã—4 PPH,200,PPH,225Ã—4,,1646466386210-himgiri hygiene pvt ltd-nepal-dhoni 100-.png,CROSS CODING,2
2022-03-07 00:00:00,202203,,111846663,,1646466676120,52852,120,MAHARASHTRA,SANTOOR,SANTOOR 53G(48G+5G FREE),20,EWP,53 GM,,1646466676120-maharashtra-santoor.png,CROSS CODING,2
2022-03-07 00:00:00,202203,,115464846,,1646459584996,99763264,106,LOTTE INDIA-INDIA,LOTTE,LOTTE-LEMON FLAVOUR 4.5GM,2,PPH,4.5,New SKU,1646459584996-lotte india-india-lotte.png,RECODING,5
2022-03-07 00:00:00,202203,,115464846,,1646461938384,,123,MAHASHAKTI SOAP & CHEM.- NEPAL,LION 100%,LION 450 GM PPH,100,PPH,450GM,,1646461938384-mahashakti soap - chem-- nepal-lion 100-.png,PARKER FOR NEXT MONTH,999
2022-03-07 00:00:00,202203,,115464846,,1646459485493,99763265,106,LOTTE INDIA-INDIA,LOTTE,LOTTE-STRAWBERRY-4.5GM,2,PPH,4.5,,1646459485493-lotte india-india-lotte.png,RECODING,5
2022-03-07 00:00:00,202203,,115464846,,1646459309550,99763266,106,LOTTE INDIA-INDIA,LOTTE,LOTTEJUICE4.5GM LOTTE PPH,2,PPH,4.5,,1646459309550-lotte india-india-lotte.png,RECODING,5
2022-03-07 00:00:00,202203,,115464846,,1646461292518,,123,MAHAKALI OLIYO CHEM - NEPAL,BALA,BALA MAHAKALI OLEO CHEMICALS 300GM,60,PPH,300GM,,1646461292518-mahakali oliyo chem - nepal-bala.png,PARKER FOR NEXT MONTH,999
2022-03-08 00:00:00,202203,,132907956,,1646364957891,99763276,118,S.N.B MINERAL WATER & BEVRG-NP,FORTUNE DRINKING WATER ,FORTUNE DRINKING WATER \PBT\1000ML\RS-25,25,PBT,1000 ML,,1646364957891-s-n-b mineral water - bevrg-np-fortune drinking water .png,RECODING,5
2022-03-08 00:00:00,202203,,132805023,,1646643525843,99763293,122,GOLDEN STAR SOAP IND-NEPAL,DETERGENT POWDER ,NIMA DETERGENT POWDER\200G\EWP\RS20,20,EWP ,200G,,1646643525843-golden star soap ind-nepal-detergent powder .png,RECODING,5
2022-03-08 00:00:00,202203,,132818405,,1646364957891,99763276,118,S.N.B MINERAL WATER & BEVRG-NP,FORTUNE DRINKING WATER ,FORTUNE DRINKING WATER \PBT\1000ML\RS-25,25,PBT,1000 ML,,1646364957891-s-n-b mineral water - bevrg-np-fortune drinking water .png,RECODING,5
2022-03-08 00:00:00,202203,,113125633,,1646636109363,99763294,122,CHIRANJIVI DETERGENT & SOAP-NP,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI \425\GM,50,PPH,425 GM,,1646636109363-chiranjivi detergent - soap-np-api green herbal ghadi .png,RECODING,5
2022-03-08 00:00:00,202203,,122152278,,1646193793402,99763290,118,AMRAPALI BEVERAGE PVT LTD NEPAL,RECHARGE,AMRAPALI RECHARGE ENERGY DRINK 250ML,100,CAN,250ML,,1646193793402-amrapali beverage pvt ltd nepal-recharge.png,RECODING,5
2022-03-08 00:00:00,202203,,112785955,,1646640829664,99763297,123,HIMGIRI HYGIENE PVT LTD-NEPAL,DHONI 100 % LAUNDRY SOAP PPH 100 GM.,DHONI 100% LAUNDRY SOAP PPH 100 GM.,20,PPH,100 GM.,,1646640829664-himgiri hygiene pvt ltd-nepal-dhoni 100 - laundry soap pph 100 gm-.png,RECODING,5
