itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
30203,RASHIKA HAPPY COOKIES 260 GM,6,BISCUITS,RASHIKA TRADING (PVT) LTD,RASHIKA HAPPY COOKIES,PLPCH,,,260.0,GM,260.00 GM,201401.0,1
30204,SUN RICH MILKIES 360 GM,6,BISCUITS,SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILKIES,PLPCH,,,360.0,GM,360.00 GM,201512.0,1
30205,SUN RICH MILKIES 44 GM,6,BISCUITS,SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILKIES,PLPCH,,,44.0,GM,44.00 GM,201602.0,1
30206,VICHY GINGER COOKIES 100 GM,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY GINGER COOKIES,PLPCH,,,100.0,GM,100.00 GM,201312.0,1
30207,VICHY GINGER COOKIES 240 GM TIN,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY GINGER COOKIES,TIN,,,240.0,GM,240.00 GM,201312.0,1
30208,VICHY ASSORTED COOKI CRUNCHIES 350 GM,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY ASSORTED COOKIES,PLPCH,,,350.0,GM,350.00 GM,200711.0,1
30210,VICHY BUTTER COOKIES 100 GM,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY BUTTER COOKIES,PLPCH,,,100.0,GM,100.00 GM,201312.0,1
30211,VICHY BUTTER COOKIES 240 GM TIN,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY BUTTER COOKIES,TIN,,,240.0,GM,240.00 GM,201312.0,1
30213,VICHY CHOCO.CHIP COOKIES 400 GM TIN,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY CHOCOLATE CHIP COOKIES,TIN,,,400.0,GM,400.00 GM,200712.0,1
30214,VICHY CHOCOLATE CHIP COOKIES 240 GM TIN,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY CHOCOLATE CHIP COOKIES,TIN,,,240.0,GM,240.00 GM,201401.0,1
30215,VICHY CHOCOLATE CHIP COOKIES PREMIUM TASTE 100 GM,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY CHOCOLATE CHIP COOKIES,PLPCH,,,100.0,GM,100.00 GM,201312.0,1
30217,VICHY STRAWBERRY COOKIES 240 GM TIN,6,BISCUITS,VICHY COOKIES MANUFACTORS,VICHY STRAWBERRY COOKIES,TIN,,,240.0,GM,240.00 GM,201404.0,1
